[2024-12-18 19:47:39] info: 	z2m: Logging to console, file (filename: log.log)
[2024-12-18 19:47:39] info: 	z2m: Starting Zigbee2MQTT version 1.42.0 (commit #861cba6)
[2024-12-18 19:47:39] info: 	z2m: Starting zigbee-herdsman (2.1.9)
[2024-12-18 19:47:40] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyUSB1","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-12-18 19:47:40] info: 	zh:zstack:znp: Serialport opened
[2024-12-18 19:47:40] info: 	z2m: zigbee-herdsman started (resumed)
[2024-12-18 19:47:40] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":1,"majorrel":2,"minorrel":7,"product":1,"revision":20240710,"transportrev":2},"type":"zStack3x0"}'
[2024-12-18 19:47:40] info: 	z2m: Currently 0 devices are joined.
[2024-12-18 19:47:40] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-12-18 19:47:40] warning: 	z2m: Allowing new devices to join.
[2024-12-18 19:47:40] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-12-18 19:47:40] info: 	z2m: Zigbee: allowing new devices to join.
[2024-12-18 19:47:41] info: 	z2m: Connecting to MQTT server at mqtt://localhost
[2024-12-18 19:47:41] info: 	z2m: Connected to MQTT server
[2024-12-18 19:47:41] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-12-18 19:47:41] info: 	z2m: Started frontend on port 8090
[2024-12-18 19:47:41] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-12-18 19:47:41] info: 	z2m: Zigbee2MQTT started!
[2024-12-18 19:47:46] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/1221051039810110150109113116116_0x00124b002c3fc540/connection_state/config', payload '{"device":{"hw_version":"zStack3x0 20240710","identifiers":["zigbee2mqtt_bridge_0x00124b002c3fc540"],"manufacturer":"Zigbee2MQTT","model":"Bridge","name":"Zigbee2MQTT Bridge","sw_version":"1.42.0"},"device_class":"connectivity","entity_category":"diagnostic","name":"Connection state","object_id":"zigbee2mqtt_bridge_connection_state","origin":{"name":"Zigbee2MQTT","sw":"1.42.0","url":"https://www.zigbee2mqtt.io"},"payload_off":"offline","payload_on":"online","state_topic":"zigbee2mqtt/bridge/state","unique_id":"bridge_0x00124b002c3fc540_connection_state_zigbee2mqtt","value_template":"{{ value_json.state }}"}'
[2024-12-18 19:49:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Повторювач над холодильником', payload '{"last_seen":"2024-12-18T17:49:48.255Z"}'
[2024-12-18 19:49:48] info: 	zh:controller: Interview for '0x00124b0014d9a2a8' started
[2024-12-18 19:49:48] info: 	z2m: Device 'Повторювач над холодильником' joined
[2024-12-18 19:49:48] info: 	z2m: Starting interview of 'Повторювач над холодильником'
[2024-12-18 19:49:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"Повторювач над холодильником","ieee_address":"0x00124b0014d9a2a8"},"type":"device_joined"}'
[2024-12-18 19:49:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"Повторювач над холодильником","ieee_address":"0x00124b0014d9a2a8","status":"started"},"type":"device_interview"}'
[2024-12-18 19:49:48] info: 	zh:controller:device: Device '0x00124b0014d9a2a8' is only compliant to revision 'pre-21' of the ZigBee specification (current revision: 23).
[2024-12-18 19:49:48] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Повторювач над холодильником', payload '{"last_seen":"2024-12-18T17:49:48.499Z","linkquality":18}'
