[2024-10-16 14:28:12] info: 	z2m: Logging to console, file (filename: log.log)
[2024-10-16 14:28:12] info: 	z2m: Starting Zigbee2MQTT version 1.40.2 (commit #e06848d)
[2024-10-16 14:28:12] info: 	z2m: Starting zigbee-herdsman (2.1.3)
[2024-10-16 14:28:13] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyACM0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-10-16 14:28:13] info: 	zh:zstack:znp: Serialport opened
[2024-10-16 14:28:13] info: 	z2m: zigbee-herdsman started (resumed)
[2024-10-16 14:28:13] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":2,"majorrel":2,"minorrel":7,"product":2,"revision":20200211,"transportrev":2},"type":"zStack30x"}'
[2024-10-16 14:28:13] info: 	z2m: Currently 0 devices are joined.
[2024-10-16 14:28:13] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-10-16 14:28:13] warning: 	z2m: Allowing new devices to join.
[2024-10-16 14:28:13] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-10-16 14:28:13] info: 	z2m: Zigbee: allowing new devices to join.
[2024-10-16 14:28:14] info: 	z2m: Connecting to MQTT server at mqtt://127.0.0.1
[2024-10-16 14:28:14] info: 	z2m: Connected to MQTT server
[2024-10-16 14:28:14] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-10-16 14:28:14] info: 	z2m: Started frontend on port 8090
[2024-10-16 14:28:14] info: 	z2m: Zigbee2MQTT started!
[2024-10-16 14:29:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2024-10-16 14:29:04] info: 	z2m: Disconnecting from MQTT server
[2024-10-16 14:29:04] info: 	z2m: Stopping zigbee-herdsman...
[2024-10-16 14:29:05] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-10-16 14:29:05] info: 	zh:zstack:znp: closing
[2024-10-16 14:29:05] info: 	zh:zstack:znp: Port closed
[2024-10-16 14:29:05] info: 	z2m: Stopped zigbee-herdsman
[2024-10-16 14:29:05] info: 	z2m: Stopped Zigbee2MQTT
