[2024-10-16 13:34:14] info: 	z2m: Logging to console, file (filename: log.log)
[2024-10-16 13:34:14] info: 	z2m: Starting Zigbee2MQTT version 1.40.2 (commit #e06848d)
[2024-10-16 13:34:14] info: 	z2m: Starting zigbee-herdsman (2.1.3)
[2024-10-16 13:34:15] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyACM0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-10-16 13:34:15] info: 	zh:zstack:znp: Serialport opened
[2024-10-16 13:34:15] info: 	z2m: zigbee-herdsman started (resumed)
[2024-10-16 13:34:15] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":2,"majorrel":2,"minorrel":7,"product":2,"revision":20200211,"transportrev":2},"type":"zStack30x"}'
[2024-10-16 13:34:15] info: 	z2m: Currently 0 devices are joined.
[2024-10-16 13:34:15] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-10-16 13:34:15] warning: 	z2m: Allowing new devices to join.
[2024-10-16 13:34:15] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-10-16 13:34:15] info: 	z2m: Zigbee: allowing new devices to join.
[2024-10-16 13:34:15] info: 	z2m: Connecting to MQTT server at mqtt://127.0.0.1
[2024-10-16 13:34:15] info: 	z2m: Connected to MQTT server
[2024-10-16 13:34:15] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-10-16 13:34:15] info: 	z2m: Started frontend on port 8090
[2024-10-16 13:34:15] info: 	z2m: Zigbee2MQTT started!
[2024-10-16 13:39:34] info: 	z2m: Starting network scan (includeRoutes 'false')
[2024-10-16 13:39:35] info: 	z2m: Network scan finished
[2024-10-16 13:39:36] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/networkmap', payload '{"data":{"routes":false,"type":"graphviz","value":"digraph G {\nnode[shape=record];\n  \"0x00124b00194af511\" [style=\"bold, filled\", fillcolor=\"#e04e5d\", fontcolor=\"#ffffff\", label=\"{Coordinator|0x00124b00194af511 (0x0000)|0 seconds ago}\"];\n}"},"status":"ok"}'
