[2024-10-16 17:57:45] info: 	z2m: Logging to console, file (filename: log.log)
[2024-10-16 17:57:45] info: 	z2m: Starting Zigbee2MQTT version 1.40.2 (commit #e06848d)
[2024-10-16 17:57:45] info: 	z2m: Starting zigbee-herdsman (2.1.3)
[2024-10-16 17:57:46] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyACM0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-10-16 17:57:46] info: 	zh:zstack:znp: Serialport opened
[2024-10-16 17:57:46] info: 	z2m: zigbee-herdsman started (resumed)
[2024-10-16 17:57:46] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":2,"majorrel":2,"minorrel":7,"product":2,"revision":20200211,"transportrev":2},"type":"zStack30x"}'
[2024-10-16 17:57:46] info: 	z2m: Розетка котла (0x00158d00039e22ad): ZNCZ02LM - Xiaomi Mi smart plug (Router)
[2024-10-16 17:57:46] info: 	z2m: Вимикач освітлення сходів (0x00158d00014a6581): QBKG11LM - Aqara Smart wall switch (with neutral, single rocker) (Router)
[2024-10-16 17:57:46] info: 	z2m: Освітлення комори та гаражу (0x00158d000490abbb): QBKG12LM - Aqara Smart wall switch (with neutral, double rocker) (EndDevice)
[2024-10-16 17:57:46] info: 	z2m: Датчика відкриття вхідних дверей (0x00158d0003cd58b6): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
[2024-10-16 17:57:46] info: 	z2m: Currently 4 devices are joined.
[2024-10-16 17:57:46] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-10-16 17:57:46] warning: 	z2m: Allowing new devices to join.
[2024-10-16 17:57:46] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-10-16 17:57:46] info: 	z2m: Zigbee: allowing new devices to join.
[2024-10-16 17:57:46] info: 	z2m: Connecting to MQTT server at mqtt://127.0.0.1
[2024-10-16 17:57:47] info: 	z2m: Connected to MQTT server
[2024-10-16 17:57:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-10-16 17:57:47] info: 	z2m: Started frontend on port 8090
[2024-10-16 17:57:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":39,"energy":8.07,"linkquality":0,"power":1.37,"power_outage_count":1261,"state":"ON"}'
[2024-10-16 17:57:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"consumption":8.917062759399414,"device_temperature":22,"energy":8.92,"linkquality":0,"power":0,"power_outage_count":1133,"state":"OFF"}'
[2024-10-16 17:57:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"consumption":37.07789993286133,"device_temperature":19,"energy":37.08,"linkquality":0,"power":0,"power_outage_count":636,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 17:57:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Датчика відкриття вхідних дверей', payload '{"battery":90,"contact":true,"device_temperature":21,"linkquality":0,"power_outage_count":1394,"trigger_count":0,"voltage":2985}'
[2024-10-16 17:57:47] info: 	z2m: Zigbee2MQTT started!
[2024-10-16 17:57:54] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":39,"energy":8.07,"linkquality":0,"power":1.38,"power_outage_count":1261,"state":"ON"}'
[2024-10-16 17:57:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":39,"energy":8.07,"linkquality":0,"power":1.38,"power_outage_count":1261,"state":"OFF"}'
[2024-10-16 17:57:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":39,"energy":8.07,"linkquality":0,"power":1.38,"power_outage_count":1261,"state":"OFF"}'
[2024-10-16 17:57:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":39,"energy":8.07,"linkquality":0,"power":0,"power_outage_count":1261,"state":"OFF"}'
[2024-10-16 17:59:12] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"consumption":37.07789993286133,"device_temperature":19,"energy":37.08,"linkquality":0,"power":0,"power_outage_count":636,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 17:59:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"offline"}'
[2024-10-16 17:59:47] info: 	z2m: Disconnecting from MQTT server
[2024-10-16 17:59:47] info: 	z2m: Stopping zigbee-herdsman...
[2024-10-16 17:59:48] info: 	zh:controller: Wrote coordinator backup to '/app/data/coordinator_backup.json'
[2024-10-16 17:59:48] info: 	zh:zstack:znp: closing
[2024-10-16 17:59:48] info: 	zh:zstack:znp: Port closed
[2024-10-16 17:59:48] info: 	z2m: Stopped zigbee-herdsman
[2024-10-16 17:59:48] info: 	z2m: Stopped Zigbee2MQTT
