[2024-10-16 15:47:11] info: 	z2m: Logging to console, file (filename: log.log)
[2024-10-16 15:47:11] info: 	z2m: Starting Zigbee2MQTT version 1.40.2 (commit #e06848d)
[2024-10-16 15:47:11] info: 	z2m: Starting zigbee-herdsman (2.1.3)
[2024-10-16 15:47:12] info: 	zh:zstack:znp: Opening SerialPort with {"path":"/dev/ttyACM0","baudRate":115200,"rtscts":false,"autoOpen":false}
[2024-10-16 15:47:12] info: 	zh:zstack:znp: Serialport opened
[2024-10-16 15:47:12] info: 	z2m: zigbee-herdsman started (resumed)
[2024-10-16 15:47:12] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":2,"majorrel":2,"minorrel":7,"product":2,"revision":20200211,"transportrev":2},"type":"zStack30x"}'
[2024-10-16 15:47:12] info: 	z2m: Розетка котла (0x00158d00039e22ad): ZNCZ02LM - Xiaomi Mi smart plug (Router)
[2024-10-16 15:47:12] info: 	z2m: Вимикач освітлення сходів (0x00158d00014a6581): QBKG11LM - Aqara Smart wall switch (with neutral, single rocker) (Router)
[2024-10-16 15:47:12] info: 	z2m: Currently 2 devices are joined.
[2024-10-16 15:47:12] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-10-16 15:47:12] warning: 	z2m: Allowing new devices to join.
[2024-10-16 15:47:12] warning: 	z2m: Set `permit_join` to `false` once you joined all devices.
[2024-10-16 15:47:12] info: 	z2m: Zigbee: allowing new devices to join.
[2024-10-16 15:47:12] info: 	z2m: Connecting to MQTT server at mqtt://127.0.0.1
[2024-10-16 15:47:13] info: 	z2m: Connected to MQTT server
[2024-10-16 15:47:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2024-10-16 15:47:13] info: 	z2m: Started frontend on port 8090
[2024-10-16 15:47:13] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":35,"energy":8.07,"linkquality":0,"power":1.54,"power_outage_count":1261,"state":"ON"}'
[2024-10-16 15:47:13] info: 	z2m: Zigbee2MQTT started!
[2024-10-16 15:48:00] info: 	zh:controller: Interview for '0x00158d000490abbb' started
[2024-10-16 15:48:00] info: 	z2m: Device 'Освітлення комори та гаражу' joined
[2024-10-16 15:48:00] info: 	z2m: Starting interview of 'Освітлення комори та гаражу'
[2024-10-16 15:48:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"Освітлення комори та гаражу","ieee_address":"0x00158d000490abbb"},"type":"device_joined"}'
[2024-10-16 15:48:00] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"Освітлення комори та гаражу","ieee_address":"0x00158d000490abbb","status":"started"},"type":"device_interview"}'
[2024-10-16 15:48:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"friendly_name":"Освітлення комори та гаражу","ieee_address":"0x00158d000490abbb"},"type":"device_announce"}'
[2024-10-16 15:48:11] info: 	zh:controller: Succesfully interviewed '0x00158d000490abbb'
[2024-10-16 15:48:11] info: 	z2m: Successfully interviewed 'Освітлення комори та гаражу', device has successfully been paired
[2024-10-16 15:48:11] info: 	z2m: Device 'Освітлення комори та гаражу' is supported, identified as: Aqara Smart wall switch (with neutral, double rocker) (QBKG12LM)
[2024-10-16 15:48:11] info: 	z2m: Configuring 'Освітлення комори та гаражу'
[2024-10-16 15:48:11] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"definition":{"description":"Smart wall switch (with neutral, double rocker)","exposes":[{"endpoint":"left","features":[{"access":7,"description":"On/off state of the switch","endpoint":"left","label":"State","name":"state","property":"state_left","type":"binary","value_off":"OFF","value_on":"ON","value_toggle":"TOGGLE"}],"type":"switch"},{"endpoint":"right","features":[{"access":7,"description":"On/off state of the switch","endpoint":"right","label":"State","name":"state","property":"state_right","type":"binary","value_off":"OFF","value_on":"ON","value_toggle":"TOGGLE"}],"type":"switch"},{"access":1,"category":"diagnostic","description":"Temperature of the device","label":"Device temperature","name":"device_temperature","property":"device_temperature","type":"numeric","unit":"°C"},{"access":1,"description":"Sum of consumed energy","label":"Energy","name":"energy","property":"energy","type":"numeric","unit":"kWh"},{"access":5,"category":"diagnostic","description":"Instantaneous measured power","label":"Power","name":"power","property":"power","type":"numeric","unit":"W"},{"access":7,"description":"Operation mode for left button","endpoint":"left","label":"Operation mode","name":"operation_mode","property":"operation_mode_left","type":"enum","values":["control_left_relay","control_right_relay","decoupled"]},{"access":7,"description":"Operation mode for right button","endpoint":"right","label":"Operation mode","name":"operation_mode","property":"operation_mode_right","type":"enum","values":["control_left_relay","control_right_relay","decoupled"]},{"access":1,"category":"diagnostic","description":"Triggered action (e.g. a button click)","label":"Action","name":"action","property":"action","type":"enum","values":["single_left","single_right","single_both","double_left","double_right","double_both","hold_left","hold_right","hold_both","release_left","release_right","release_both"]},{"access":1,"category":"diagnostic","description":"Link quality (signal strength)","label":"Linkquality","name":"linkquality","property":"linkquality","type":"numeric","unit":"lqi","value_max":255,"value_min":0}],"model":"QBKG12LM","options":[{"access":2,"description":"Calibrates the device_temperature value (absolute offset), takes into effect on next report of device.","label":"Device temperature calibration","name":"device_temperature_calibration","property":"device_temperature_calibration","type":"numeric"},{"access":2,"description":"Calibrates the energy value (percentual offset), takes into effect on next report of device.","label":"Energy calibration","name":"energy_calibration","property":"energy_calibration","type":"numeric"},{"access":2,"description":"Number of digits after decimal point for energy, takes into effect on next report of device. This option can only decrease the precision, not increase it.","label":"Energy precision","name":"energy_precision","property":"energy_precision","type":"numeric","value_max":3,"value_min":0},{"access":2,"description":"Calibrates the power value (percentual offset), takes into effect on next report of device.","label":"Power calibration","name":"power_calibration","property":"power_calibration","type":"numeric"},{"access":2,"description":"Number of digits after decimal point for power, takes into effect on next report of device. This option can only decrease the precision, not increase it.","label":"Power precision","name":"power_precision","property":"power_precision","type":"numeric","value_max":3,"value_min":0},{"access":2,"description":"Set to false to disable the legacy integration (highly recommended), will change structure of the published payload (default true).","label":"Legacy","name":"legacy","property":"legacy","type":"binary","value_off":false,"value_on":true}],"supports_ota":true,"vendor":"Aqara"},"friendly_name":"Освітлення комори та гаражу","ieee_address":"0x00158d000490abbb","status":"successful","supported":true},"type":"device_interview"}'
[2024-10-16 15:48:11] info: 	z2m: Successfully configured 'Освітлення комори та гаражу'
[2024-10-16 15:48:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"state_left":"ON"}'
[2024-10-16 15:48:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"state_left":"ON"}'
[2024-10-16 15:48:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"ON"}'
[2024-10-16 15:48:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF"}'
[2024-10-16 15:48:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF"}'
[2024-10-16 15:48:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF"}'
[2024-10-16 15:48:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"ON"}'
[2024-10-16 15:48:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"ON"}'
[2024-10-16 15:48:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"OFF"}'
[2024-10-16 15:48:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"OFF"}'
[2024-10-16 15:49:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Розетка котла', payload '{"consumption":8.065908432006836,"device_temperature":35,"energy":8.07,"linkquality":0,"power":1.52,"power_outage_count":1261,"state":"ON"}'
[2024-10-16 15:49:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"ON"}'
[2024-10-16 15:49:30] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"ON"}'
[2024-10-16 15:49:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"OFF"}'
[2024-10-16 15:49:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"linkquality":0,"state":"OFF"}'
[2024-10-16 15:50:03] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Вимикач освітлення сходів', payload '{"consumption":8.917057037353516,"device_temperature":27,"energy":8.92,"linkquality":0,"power":0,"power_outage_count":1133,"state":"OFF"}'
[2024-10-16 15:50:41] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:41] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:44] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:51] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:50:51] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:50:51] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:50:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:52] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:50:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:57] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:50:59] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:01] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:02] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:06] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:10] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:18] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:18] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:21] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:24] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:25] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:29] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":8,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:38] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:40] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:43] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":41.45,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:44] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:45] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":41.45,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"ON","state_right":"OFF"}'
[2024-10-16 15:51:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:46] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":45.6,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:47] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:49] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"ON"}'
[2024-10-16 15:51:54] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
[2024-10-16 15:51:54] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Освітлення комори та гаражу', payload '{"linkquality":0,"power":0,"state_left":"OFF","state_right":"OFF"}'
